"Studio","Country","Founded","Notes and sources"
"Animoon","Poland","?","[1]"
"Sun Creature Studio","Denmark","2014",""
"Copenhagen Bombay","Denmark","2006",""
"Honeydew Studios","Australia","2009",""
"Dockhus Animation","Sweden","?","[2]"
"Zigzag Animation","Sweden","1985","[3]"
"Krátký Film Praha","Czech Republic","1957","[4]"
"Patmat Film","Czech Republic","?","[citation needed]"
"20th Century Animation","United States","1994","Subsidiary of The Walt Disney Company"
"Hulu Studios","New Zealand","1996",""
"Pukeko Pictures","New Zealand","2008",""
"8-Bit","Japan","2008",""
"A Squared Entertainment","United States","2009",""
"A-1 Pictures","Japan","2005","[5]"
"A. Film","Denmark","1988",""
"A.C.G.T","Japan","2001",""
"A.P.P.P.","Japan","1984",""
"Aardman Animations","United Kingdom","1972",""
"Act3animation","Australia","1992",""
"Ajia-do","Japan","1978",""
"AKOM","South Korea","1985",""
"Ánima Estudios","Mexico","2002",""
"Huevocartoon","Mexico","2001",""
"Animaccord Animation Studio","Russia","2008",""
"Animafilm","Romania","1964",""
"Animal Logic","Australia","1991",""
"Animax Entertainment","United States","2001",""
"AIC","Japan","1982",""
"Animex Producciones","Mexico","2000",""
"Animonsta Studios","Malaysia","2009",""
"Animusic","United States","1995",""
"Ankama","France","2001",""
"Arms Corporation","Japan","1996",""
"Artland","Japan","1978",""
"Asahi Production","Japan","1973",""
"Assemblage Entertainment","India","2013",""
"Astley Baker Davies","United Kingdom","1994",""
"Atomic Cartoons","Canada","1999",""
"Augenblick Studios","United States","1999",""
"Avatar Studios","United States","2021","A division of Nickelodeon centered on developing animated series and movies based on Avatar: The Last Airbender franchise.[6][7]"
"Bagdasarian Productions","United States","1961",""
"Bardel Entertainment","Canada","1987","Subsidiary of Rainbow, which itself is co-owned by ViacomCBS"
"Bee Train","Japan","1997",""
"Bent Image Lab","United States","2002",""
"Bento Box Entertainment","United States","2009",""
"Big Bad Boo","Canada","2005",""
"Big Idea Entertainment","United States","1989","Formerly GRAFx Studios"
